===== Starting battle of <FastClearBot> vs <Bigger> with memory tape size: 12 =====

[ 128 | 0 | 0 | 0 | -1< | 18 | -18 | -1 | 1 | 0 | 0 | >127 ]
[ 128 | 0 | 0 | 0 | -2< | 18 | -18 | -1 | 1 | 0 | 0 | >127 ]
[ 128 | 0 | 0 | 0 | -3< | 18 | -18 | -1 | 1 | 0 | 0 | >126 ]
[ 128 | 0 | 0 | 0 | -4< | 18 | -18 | -1 | 1 | 0 | 0 | >126 ]
[ 128 | 0 | 0 | 0 | -5< | 18 | -18 | -1 | 1 | 0 | 0 | >125 ]
[ 128 | 0 | 0 | 0 | -6< | 18 | -18 | -1 | 1 | 0 | 0 | >125 ]
[ 128 | 0 | 0 | 0 | -7< | 18 | -18 | -1 | 1 | 0 | 0 | >124 ]
[ 128 | 0 | 0 | 0 | -8< | 18 | -18 | -1 | 1 | 0 | 0 | >124 ]
[ 128 | 0 | 0 | 0 | -9< | 18 | -18 | -1 | 1 | 0 | 0 | >123 ]
[ 128 | 0 | 0 | 0 | -10< | 18 | -18 | -1 | 1 | 0 | 0 | >123 ]
[ 128 | 0 | 0 | 0 | -11< | 18 | -18 | -1 | 1 | 0 | 0 | >122 ]
[ 128 | 0 | 0 | 0 | -12< | 18 | -18 | -1 | 1 | 0 | 0 | >122 ]
[ 128 | 0 | 0 | 0 | -13< | 18 | -18 | -1 | 1 | 0 | 0 | >121 ]
[ 128 | 0 | 0 | 0 | -14< | 18 | -18 | -1 | 1 | 0 | 0 | >121 ]
[ 128 | 0 | 0 | 0 | -15< | 18 | -18 | -1 | 1 | 0 | 0 | >120 ]
[ 128 | 0 | 0 | 0 | -16< | 18 | -18 | -1 | 1 | 0 | 0 | >120 ]
[ 128 | 0 | 0 | 0 | -17< | 18 | -18 | -1 | 1 | 0 | 0 | >119 ]
[ 128 | 0 | 0 | 0 | -18< | 18 | -18 | -1 | 1 | 0 | 0 | >119 ]
[ 128 | 0 | 0 | 0< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >118 ]
[ 128 | 0 | 0 | 1< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >118 ]
[ 128 | 0 | 0 | 2< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >117 ]
[ 128 | 0 | 0 | 3< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >117 ]
[ 128 | 0 | 0 | 4< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >116 ]
