[ 128 | 2 | -4 | 2 | -4 | >2 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | >0 | 0 | 0 | 0 | 0 | 0< | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | >-1 | 0 | 0 | 0 | 0< | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | >-2 | 0 | 0 | 0 | 0< | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | >-3 | 0 | 0 | 0< | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | >-4 | 0 | 0 | 0< | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | >0 | 0< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | >1 | 0< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | >2< | 0 | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | 2< | >0 | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | 3< | >-1 | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | 3< | >-2 | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | 2< | >-3 | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | 2< | >-4 | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | 1< | -4 | >0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | 1< | -4 | >-1 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | 0< | -4 | >-2 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | 0< | -4 | >-3 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4 | 0< | -4 | >-4 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4< | 0 | -4 | -4 | >0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4< | 0 | -4 | -4 | >1 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -3< | 0 | -4 | -4 | >2 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -3< | 0 | -4 | -4 | >3 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4< | 0 | -4 | -4 | >4 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -4< | 0 | -4 | -4 | >4 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -5< | 0 | -4 | -4 | >3 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -5< | 0 | -4 | -4 | >3 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -6< | 0 | -4 | -4 | >2 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -6< | 0 | -4 | -4 | >2 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -7< | 0 | -4 | -4 | >1 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -7< | 0 | -4 | -4 | >1 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -8< | 0 | -4 | -4 | >0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -8< | 0 | -4 | -4 | >0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -9< | 0 | -4 | -4 | 0 | >0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -9< | 0 | -4 | -4 | 0 | >1 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -10< | 0 | -4 | -4 | 0 | >2 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -10< | 0 | -4 | -4 | 0 | >3 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -11< | 0 | -4 | -4 | 0 | >4 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -11< | 0 | -4 | -4 | 0 | >4 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -12< | 0 | -4 | -4 | 0 | >3 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -12< | 0 | -4 | -4 | 0 | >3 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -13< | 0 | -4 | -4 | 0 | >2 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -13< | 0 | -4 | -4 | 0 | >2 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -14< | 0 | -4 | -4 | 0 | >1 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -14< | 0 | -4 | -4 | 0 | >1 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -15< | 0 | -4 | -4 | 0 | >0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -15< | 0 | -4 | -4 | 0 | >0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -16< | 0 | -4 | -4 | 0 | 0 | >0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -16< | 0 | -4 | -4 | 0 | 0 | >1 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -17< | 0 | -4 | -4 | 0 | 0 | >2 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -17< | 0 | -4 | -4 | 0 | 0 | >3 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -18< | 0 | -4 | -4 | 0 | 0 | >4 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -18< | 0 | -4 | -4 | 0 | 0 | >4 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -19< | 0 | -4 | -4 | 0 | 0 | >3 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -19< | 0 | -4 | -4 | 0 | 0 | >3 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -20< | 0 | -4 | -4 | 0 | 0 | >2 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -20< | 0 | -4 | -4 | 0 | 0 | >2 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -21< | 0 | -4 | -4 | 0 | 0 | >1 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -21< | 0 | -4 | -4 | 0 | 0 | >1 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -22< | 0 | -4 | -4 | 0 | 0 | >0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -22< | 0 | -4 | -4 | 0 | 0 | >0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -23< | 0 | -4 | -4 | 0 | 0 | 0 | >1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -23< | 0 | -4 | -4 | 0 | 0 | 0 | >2 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -24< | 0 | -4 | -4 | 0 | 0 | 0 | >3 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -24< | 0 | -4 | -4 | 0 | 0 | 0 | >4 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -25< | 0 | -4 | -4 | 0 | 0 | 0 | >5 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -25< | 0 | -4 | -4 | 0 | 0 | 0 | >5 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -26< | 0 | -4 | -4 | 0 | 0 | 0 | >4 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -26< | 0 | -4 | -4 | 0 | 0 | 0 | >4 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -27< | 0 | -4 | -4 | 0 | 0 | 0 | >3 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -27< | 0 | -4 | -4 | 0 | 0 | 0 | >3 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -28< | 0 | -4 | -4 | 0 | 0 | 0 | >2 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -28< | 0 | -4 | -4 | 0 | 0 | 0 | >2 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -29< | 0 | -4 | -4 | 0 | 0 | 0 | >1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -29< | 0 | -4 | -4 | 0 | 0 | 0 | >1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -30< | 0 | -4 | -4 | 0 | 0 | 0 | >0 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -30< | 0 | -4 | -4 | 0 | 0 | 0 | >0 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -31< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >-1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -31< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >0 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -32< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -32< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >2 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -33< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >3 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -33< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >3 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -34< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >2 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -34< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >2 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -35< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -35< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -36< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >0 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -36< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | >0 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -37< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >-1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -37< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >0 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -38< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -38< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >2 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -39< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >3 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -39< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >3 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -40< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >2 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -40< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >2 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -41< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -41< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -42< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >0 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -42< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | >0 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -43< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -43< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >2 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -44< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >3 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -44< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >4 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -45< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >5 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -45< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >5 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -46< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >4 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -46< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >4 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -47< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >3 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -47< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >3 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -48< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >2 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | 2 | -48< | 0 | -4 | -4 | 0 | 0 | 0 | 0 | 0 | 0 | >2 | 1 | -1 | 1 | -1 | 128 ]
