===== Starting battle of <Backtracker> vs <CounterPunch> with memory tape size: 16 =====

[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8< | >0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | 0< | >0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -1< | >0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -2< | 0 | >0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -3< | 0 | >0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -4< | 0 | 0 | >0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -5< | 0 | 0 | >0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -6< | 0 | 0 | 0 | >-12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -7< | 0 | 0 | 0 | >-12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -8< | 0 | 0 | 0 | >-13 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -9< | 0 | 0 | 0 | >-13 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -10< | 0 | 0 | 0 | >-14 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -11< | 0 | 0 | 0 | >-14 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12< | 0 | 0 | 0 | >-15 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 0< | 0 | 0 | >-15 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 1< | 0 | 0 | >-16 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 2< | 0 | 0 | >-16 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 3< | 0 | 0 | >-17 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 4< | 0 | 0 | >-17 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 5< | 0 | 0 | >-18 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 6< | 0 | 0 | >-18 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 7< | 0 | 0 | >-19 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 8< | 0 | 0 | >-19 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 9< | 0 | 0 | >-20 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 10< | 0 | 0 | >-20 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 11< | 0 | 0 | >-21 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12< | 0 | 0 | >-21 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | 0< | 0 | >-22 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -1< | 0 | >-22 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -2< | 0 | >-23 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -3< | 0 | >-23 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -4< | 0 | >-24 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -5< | 0 | >-24 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -6< | 0 | >-25 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -7< | 0 | >-25 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -8< | 0 | >-26 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -9< | 0 | >-26 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -10< | 0 | >-27 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -11< | 0 | >-27 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12< | 0 | >-28 | -127 ]
