===== Starting battle of <Alternator> vs <CounterPunch> with memory tape size: 23 =====

[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-42 | 12 | -12 | 12 | -12 | 8< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-43 | 12 | -12 | 12 | -12 | 9< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-43 | 12 | -12 | 12 | -12 | 10< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-44 | 12 | -12 | 12 | -12 | 11< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-44 | 12 | -12 | 12 | -12 | 12< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-45 | 12 | -12 | 12 | -12< | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-45 | 12 | -12 | 12< | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-46 | 12 | -12< | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-46 | 12< | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-47< | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0< | >-47 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0< | 0 | >-48 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0< | 0 | >-48 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0< | 0 | >-49 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0< | 0 | >-49 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0< | 0 | >-50 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0< | 0 | 0 | >-50 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0< | 0 | 0 | >-51 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0< | 0 | 0 | >-51 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0< | 0 | 0 | >-52 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0< | 0 | 0 | >-52 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0< | 0 | 0 | 0 | >-53 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0< | 0 | 0 | 0 | >-53 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0< | 0 | 0 | 0 | >-54 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0< | 0 | 0 | 0 | >-54 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0< | 0 | 0 | 0 | >-55 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0< | 0 | 0 | 0 | 0 | >-55 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0< | 0 | 0 | 0 | 0 | >-56 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0< | 0 | 0 | 0 | 0 | >-56 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0< | 0 | 0 | 0 | 0 | >-57 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0< | 0 | 0 | 0 | 0 | >-57 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1< | 0 | 0 | 0 | 0 | 0 | >-58 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1< | 0 | 0 | 0 | 0 | 0 | >-58 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | >-59 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | >-59 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | >-60 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | >-60 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | >-61 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | >-61 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | >-62 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | >-62 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | >-63 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | >-63 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1< | 0 | 0 | 0 | 0 | 0 | 0 | >-64 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1< | 0 | 0 | 0 | 0 | 0 | 0 | >-64 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -2< | 0 | 0 | 0 | 0 | 0 | 0 | >-65 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -2< | 0 | 0 | 0 | 0 | 0 | 0 | >-65 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1< | 0 | 0 | 0 | 0 | 0 | 0 | >-66 | 12 | -12 | 12 | -12 | 12 | -12 | -127 ]
