[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-3 | -3< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-4 | -4< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-5< | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-5< | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-5< | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1< | >-6 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -2< | >-7 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -3< | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -4< | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -5< | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 0< | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | -1< | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | -2< | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | -3< | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | -4< | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 0< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 1< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 2< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 3< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 3< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 2< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 2< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 1< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 1< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 0< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | 0< | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 1< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 2< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 3< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 4< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 4< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 3< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 3< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 2< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 2< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 1< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 1< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0< | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 0< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 1< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 2< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 3< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 3< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 2< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 2< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 1< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 1< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 0< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | 0< | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 1< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 2< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 3< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 4< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 4< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 3< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 3< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 2< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 2< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 1< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 1< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1 | 0< | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | -1< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 0< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 1< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 2< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 3< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 3< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 2< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 2< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 1< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 1< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 0< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0 | 0< | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 1< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 2< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 3< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 4< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 4< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 3< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 3< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 2< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 2< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 1< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 1< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | -1< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 1< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 2< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 3< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 3< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 2< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 2< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 1< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 1< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -124< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -124< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 124< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 124< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 123< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 123< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 122< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 122< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 121< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 121< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 120< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 120< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4 | -5 | >-8 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
