===== Starting battle of <AnybodyThere> vs <BeatYouMate> with memory tape size: 25 =====

[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | >1 | 0 | 0 | 0 | 2< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | >1 | 0 | 0 | 0 | 3< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | 1 | >0 | 0 | 0 | 4< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | 1 | 0 | >0 | 0 | 5< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | 1 | 0 | 0 | >0 | 6< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | 1 | 0 | 0 | >1 | 7< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | 1 | 0 | 0 | >2 | 7< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | 1 | 0 | 0 | >3 | 6< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | 1 | 0 | 0 | >4 | 6< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | 1 | 0 | 0 | >5 | 5< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 5 | 1 | 0 | >0 | 5 | 5< | 0 | 0 | 0 | 0 | 7 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 128 ]
