===== Starting battle of <SternBot> vs <BeatYouMate> with memory tape size: 14 =====

[ -123< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >84 ]
[ -123< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >84 ]
[ -124< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >83 ]
[ -124< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >83 ]
[ -125< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >82 ]
[ -125< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >82 ]
[ -126< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >81 ]
[ -126< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >81 ]
[ -127< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >80 ]
[ -127< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >80 ]
[ 128< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >79 ]
[ 128< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >79 ]
[ 127< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >78 ]
[ 127< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >78 ]
[ 126< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >77 ]
[ 126< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >77 ]
[ 125< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >76 ]
[ 125< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >76 ]
[ 124< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >75 ]
[ 124< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >75 ]
[ 123< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >74 ]
