===== Starting battle of <LightfootPlodder> vs <BurlyBalderV2> with memory tape size: 10 =====

[ 128 | -4 | -7 | -4 | 7 | >-10 | 0< | -17 | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7 | >-11< | 0 | -17 | -17 | 128 ]
[ 128 | -4 | -7 | -4 | 7< | >-12 | 0 | -17 | -17 | 128 ]
[ 128 | -4 | -7 | -4< | 7 | >-13 | 0 | -17 | -17 | 128 ]
[ 128 | -4 | -7< | -4 | 7 | >-14 | 0 | -17 | -17 | 128 ]
[ 128 | -4< | -7 | -4 | 7 | >-15 | 0 | -17 | -17 | 128 ]
[ 128< | -4 | -7 | -4 | 7 | >-16 | 0 | -17 | -17 | 128 ]
[ 128< | -4 | -7 | -4 | 7 | >-17 | 0 | -17 | -17 | 128 ]
[ -127< | -4 | -7 | -4 | 7 | -17 | >0 | -17 | -17 | 128 ]
[ -127< | -4 | -7 | -4 | 7 | -17 | >1 | -17 | -17 | 128 ]
[ -126< | -4 | -7 | -4 | 7 | -17 | >2 | -17 | -17 | 128 ]
[ -126< | -4 | -7 | -4 | 7 | -17 | >3 | -17 | -17 | 128 ]
[ -125< | -4 | -7 | -4 | 7 | -17 | 3 | >-17 | -17 | 128 ]
[ -125< | -4 | -7 | -4 | 7 | -17 | 3 | >-18 | -17 | 128 ]
[ -124< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-17 | 128 ]
[ -124< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-18 | 128 ]
[ -123< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-19 | 128 ]
[ -123< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-20 | 128 ]
[ -122< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-21 | 128 ]
[ -122< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-22 | 128 ]
[ -121< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-23 | 128 ]
[ -121< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-24 | 128 ]
[ -120< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-25 | 128 ]
[ -120< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-26 | 128 ]
[ -119< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | >-27 | 128 ]
[ -119< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | -27 | >128 ]
[ -118< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | -27 | >-127 ]
[ -118< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | -27 | >-126 ]
[ -117< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | -27 | >-125 ]
[ -117< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | -27 | >-124 ]
[ -116< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | -27 | >-123 ]
[ -116< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | -27 | >-122 ]
[ -115< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | -27 | >-121 ]
[ -115< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | -27 | >-120 ]
[ -114< | -4 | -7 | -4 | 7 | -17 | 3 | -18 | -27 | >-119 ]
