===== Starting battle of <TimedAttack> vs <TruthBot> with memory tape size: 16 =====

[ >36 | 0 | 0< | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >35 | 0 | 0< | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >34 | 0< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >33 | 1< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >32 | 2< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >31 | 3< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >30 | 4< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >29 | 4< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >28 | 3< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >27 | 3< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >26 | 2< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >25 | 2< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >24 | 1< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ >23 | 1< | 0 | 0 | 0 | 0 | -4 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
