===== Starting battle of <NestDarwin> vs <DecoyMaster> with memory tape size: 10 =====

[ -127< | -8 | -8 | -6 | -1 | >23 | -10 | 30 | -30 | 128 ]
[ -126< | -8 | -8 | -6 | -1 | >23 | -10 | 30 | -30 | 128 ]
[ -125< | -8 | -8 | -6 | -1 | >24 | -10 | 30 | -30 | 128 ]
[ -124< | -8 | -8 | -6 | -1 | >24 | -10 | 30 | -30 | 128 ]
[ -123< | -8 | -8 | -6 | -1 | >24 | -10 | 30 | -30 | 128 ]
[ -122< | -8 | -8 | -6 | -1 | >25 | -10 | 30 | -30 | 128 ]
[ -122< | -8 | -8 | -6 | -1 | >25 | -10 | 30 | -30 | 128 ]
[ -123< | -8 | -8 | -6 | -1 | >25 | -10 | 30 | -30 | 128 ]
[ -123< | -8 | -8 | -6 | -1 | >26 | -10 | 30 | -30 | 128 ]
[ -124< | -8 | -8 | -6 | -1 | >26 | -10 | 30 | -30 | 128 ]
[ -124< | -8 | -8 | -6 | -1 | >26 | -10 | 30 | -30 | 128 ]
[ -125< | -8 | -8 | -6 | -1 | >27 | -10 | 30 | -30 | 128 ]
[ -125< | -8 | -8 | -6 | -1 | >27 | -10 | 30 | -30 | 128 ]
[ -126< | -8 | -8 | -6 | -1 | >27 | -10 | 30 | -30 | 128 ]
[ -126< | -8 | -8 | -6 | -1 | >28 | -10 | 30 | -30 | 128 ]
[ -127< | -8 | -8 | -6 | -1 | >28 | -10 | 30 | -30 | 128 ]
[ -127< | -8 | -8 | -6 | -1 | >28 | -10 | 30 | -30 | 128 ]
[ 128< | -8 | -8 | -6 | -1 | >29 | -10 | 30 | -30 | 128 ]
[ 128< | -8 | -8 | -6 | -1 | >29 | -10 | 30 | -30 | 128 ]
[ 127< | -8 | -8 | -6 | -1 | >29 | -10 | 30 | -30 | 128 ]
[ 127< | -8 | -8 | -6 | -1 | >30 | -10 | 30 | -30 | 128 ]
[ 126< | -8 | -8 | -6 | -1 | >30 | -10 | 30 | -30 | 128 ]
[ 126< | -8 | -8 | -6 | -1 | >30 | -10 | 30 | -30 | 128 ]
[ 125< | -8 | -8 | -6 | -1 | >31 | -10 | 30 | -30 | 128 ]
[ 125< | -8 | -8 | -6 | -1 | >31 | -10 | 30 | -30 | 128 ]
[ 124< | -8 | -8 | -6 | -1 | >31 | -10 | 30 | -30 | 128 ]
[ 124< | -8 | -8 | -6 | -1 | >32 | -10 | 30 | -30 | 128 ]
[ 123< | -8 | -8 | -6 | -1 | >32 | -10 | 30 | -30 | 128 ]
[ 123< | -8 | -8 | -6 | -1 | >32 | -10 | 30 | -30 | 128 ]
[ 122< | -8 | -8 | -6 | -1 | >33 | -10 | 30 | -30 | 128 ]
[ 122< | -8 | -8 | -6 | -1 | >33 | -10 | 30 | -30 | 128 ]
[ 121< | -8 | -8 | -6 | -1 | >33 | -10 | 30 | -30 | 128 ]
[ 121< | -8 | -8 | -6 | -1 | >34 | -10 | 30 | -30 | 128 ]
[ 120< | -8 | -8 | -6 | -1 | >34 | -10 | 30 | -30 | 128 ]
[ 120< | -8 | -8 | -6 | -1 | >34 | -10 | 30 | -30 | 128 ]
[ 119< | -8 | -8 | -6 | -1 | >35 | -10 | 30 | -30 | 128 ]
[ 119< | -8 | -8 | -6 | -1 | >35 | -10 | 30 | -30 | 128 ]
[ 118< | -8 | -8 | -6 | -1 | >35 | -10 | 30 | -30 | 128 ]
[ 118< | -8 | -8 | -6 | -1 | >36 | -10 | 30 | -30 | 128 ]
[ 117< | -8 | -8 | -6 | -1 | >36 | -10 | 30 | -30 | 128 ]
[ 117< | -8 | -8 | -6 | -1 | >36 | -10 | 30 | -30 | 128 ]
[ 116< | -8 | -8 | -6 | -1 | >37 | -10 | 30 | -30 | 128 ]
[ 116< | -8 | -8 | -6 | -1 | >37 | -10 | 30 | -30 | 128 ]
[ 115< | -8 | -8 | -6 | -1 | >37 | -10 | 30 | -30 | 128 ]
[ 115< | -8 | -8 | -6 | -1 | >38 | -10 | 30 | -30 | 128 ]
[ 114< | -8 | -8 | -6 | -1 | >38 | -10 | 30 | -30 | 128 ]
[ 114< | -8 | -8 | -6 | -1 | >38 | -10 | 30 | -30 | 128 ]
[ 113< | -8 | -8 | -6 | -1 | >39 | -10 | 30 | -30 | 128 ]
[ 113< | -8 | -8 | -6 | -1 | >39 | -10 | 30 | -30 | 128 ]
[ 112< | -8 | -8 | -6 | -1 | >39 | -10 | 30 | -30 | 128 ]
[ 112< | -8 | -8 | -6 | -1 | >40 | -10 | 30 | -30 | 128 ]
[ 111< | -8 | -8 | -6 | -1 | >40 | -10 | 30 | -30 | 128 ]
[ 111< | -8 | -8 | -6 | -1 | >40 | -10 | 30 | -30 | 128 ]
[ 110< | -8 | -8 | -6 | -1 | >41 | -10 | 30 | -30 | 128 ]
[ 110< | -8 | -8 | -6 | -1 | >41 | -10 | 30 | -30 | 128 ]
[ 109< | -8 | -8 | -6 | -1 | >41 | -10 | 30 | -30 | 128 ]
[ 109< | -8 | -8 | -6 | -1 | >42 | -10 | 30 | -30 | 128 ]
[ 108< | -8 | -8 | -6 | -1 | >42 | -10 | 30 | -30 | 128 ]
[ 108< | -8 | -8 | -6 | -1 | >42 | -10 | 30 | -30 | 128 ]
[ 107< | -8 | -8 | -6 | -1 | >43 | -10 | 30 | -30 | 128 ]
[ 107< | -8 | -8 | -6 | -1 | >43 | -10 | 30 | -30 | 128 ]
[ 106< | -8 | -8 | -6 | -1 | >43 | -10 | 30 | -30 | 128 ]
[ 106< | -8 | -8 | -6 | -1 | >44 | -10 | 30 | -30 | 128 ]
[ 105< | -8 | -8 | -6 | -1 | >44 | -10 | 30 | -30 | 128 ]
[ 105< | -8 | -8 | -6 | -1 | >44 | -10 | 30 | -30 | 128 ]
[ 104< | -8 | -8 | -6 | -1 | >45 | -10 | 30 | -30 | 128 ]
[ 104< | -8 | -8 | -6 | -1 | >45 | -10 | 30 | -30 | 128 ]
[ 103< | -8 | -8 | -6 | -1 | >45 | -10 | 30 | -30 | 128 ]
[ 103< | -8 | -8 | -6 | -1 | >46 | -10 | 30 | -30 | 128 ]
[ 102< | -8 | -8 | -6 | -1 | >46 | -10 | 30 | -30 | 128 ]
[ 102< | -8 | -8 | -6 | -1 | >46 | -10 | 30 | -30 | 128 ]
[ 101< | -8 | -8 | -6 | -1 | >47 | -10 | 30 | -30 | 128 ]
[ 101< | -8 | -8 | -6 | -1 | >47 | -10 | 30 | -30 | 128 ]
[ 100< | -8 | -8 | -6 | -1 | >47 | -10 | 30 | -30 | 128 ]
[ 100< | -8 | -8 | -6 | -1 | >48 | -10 | 30 | -30 | 128 ]
[ 99< | -8 | -8 | -6 | -1 | >48 | -10 | 30 | -30 | 128 ]
[ 99< | -8 | -8 | -6 | -1 | >48 | -10 | 30 | -30 | 128 ]
[ 98< | -8 | -8 | -6 | -1 | >49 | -10 | 30 | -30 | 128 ]
[ 98< | -8 | -8 | -6 | -1 | >49 | -10 | 30 | -30 | 128 ]
[ 97< | -8 | -8 | -6 | -1 | >49 | -10 | 30 | -30 | 128 ]
[ 97< | -8 | -8 | -6 | -1 | >50 | -10 | 30 | -30 | 128 ]
[ 96< | -8 | -8 | -6 | -1 | >50 | -10 | 30 | -30 | 128 ]
[ 96< | -8 | -8 | -6 | -1 | >50 | -10 | 30 | -30 | 128 ]
[ 95< | -8 | -8 | -6 | -1 | >51 | -10 | 30 | -30 | 128 ]
[ 95< | -8 | -8 | -6 | -1 | >51 | -10 | 30 | -30 | 128 ]
[ 94< | -8 | -8 | -6 | -1 | >51 | -10 | 30 | -30 | 128 ]
[ 94< | -8 | -8 | -6 | -1 | >52 | -10 | 30 | -30 | 128 ]
[ 93< | -8 | -8 | -6 | -1 | >52 | -10 | 30 | -30 | 128 ]
[ 93< | -8 | -8 | -6 | -1 | >52 | -10 | 30 | -30 | 128 ]
[ 92< | -8 | -8 | -6 | -1 | >53 | -10 | 30 | -30 | 128 ]
[ 92< | -8 | -8 | -6 | -1 | >53 | -10 | 30 | -30 | 128 ]
[ 91< | -8 | -8 | -6 | -1 | >53 | -10 | 30 | -30 | 128 ]
[ 91< | -8 | -8 | -6 | -1 | >54 | -10 | 30 | -30 | 128 ]
[ 90< | -8 | -8 | -6 | -1 | >54 | -10 | 30 | -30 | 128 ]
[ 90< | -8 | -8 | -6 | -1 | >54 | -10 | 30 | -30 | 128 ]
[ 89< | -8 | -8 | -6 | -1 | >55 | -10 | 30 | -30 | 128 ]
[ 89< | -8 | -8 | -6 | -1 | >55 | -10 | 30 | -30 | 128 ]
[ 88< | -8 | -8 | -6 | -1 | >55 | -10 | 30 | -30 | 128 ]
[ 88< | -8 | -8 | -6 | -1 | >56 | -10 | 30 | -30 | 128 ]
[ 87< | -8 | -8 | -6 | -1 | >56 | -10 | 30 | -30 | 128 ]
[ 87< | -8 | -8 | -6 | -1 | >56 | -10 | 30 | -30 | 128 ]
[ 86< | -8 | -8 | -6 | -1 | >57 | -10 | 30 | -30 | 128 ]
[ 86< | -8 | -8 | -6 | -1 | >57 | -10 | 30 | -30 | 128 ]
[ 85< | -8 | -8 | -6 | -1 | >57 | -10 | 30 | -30 | 128 ]
[ 85< | -8 | -8 | -6 | -1 | >58 | -10 | 30 | -30 | 128 ]
[ 84< | -8 | -8 | -6 | -1 | >58 | -10 | 30 | -30 | 128 ]
[ 84< | -8 | -8 | -6 | -1 | >58 | -10 | 30 | -30 | 128 ]
[ 83< | -8 | -8 | -6 | -1 | >59 | -10 | 30 | -30 | 128 ]
[ 83< | -8 | -8 | -6 | -1 | >59 | -10 | 30 | -30 | 128 ]
[ 82< | -8 | -8 | -6 | -1 | >59 | -10 | 30 | -30 | 128 ]
[ 82< | -8 | -8 | -6 | -1 | >60 | -10 | 30 | -30 | 128 ]
[ 81< | -8 | -8 | -6 | -1 | >60 | -10 | 30 | -30 | 128 ]
[ 81< | -8 | -8 | -6 | -1 | >60 | -10 | 30 | -30 | 128 ]
[ 80< | -8 | -8 | -6 | -1 | >61 | -10 | 30 | -30 | 128 ]
[ 80< | -8 | -8 | -6 | -1 | >61 | -10 | 30 | -30 | 128 ]
[ 79< | -8 | -8 | -6 | -1 | >61 | -10 | 30 | -30 | 128 ]
[ 79< | -8 | -8 | -6 | -1 | >62 | -10 | 30 | -30 | 128 ]
[ 78< | -8 | -8 | -6 | -1 | >62 | -10 | 30 | -30 | 128 ]
[ 78< | -8 | -8 | -6 | -1 | >62 | -10 | 30 | -30 | 128 ]
[ 77< | -8 | -8 | -6 | -1 | >63 | -10 | 30 | -30 | 128 ]
[ 77< | -8 | -8 | -6 | -1 | >63 | -10 | 30 | -30 | 128 ]
[ 76< | -8 | -8 | -6 | -1 | >63 | -10 | 30 | -30 | 128 ]
[ 76< | -8 | -8 | -6 | -1 | >64 | -10 | 30 | -30 | 128 ]
[ 75< | -8 | -8 | -6 | -1 | >64 | -10 | 30 | -30 | 128 ]
[ 75< | -8 | -8 | -6 | -1 | >64 | -10 | 30 | -30 | 128 ]
[ 74< | -8 | -8 | -6 | -1 | >65 | -10 | 30 | -30 | 128 ]
[ 74< | -8 | -8 | -6 | -1 | >65 | -10 | 30 | -30 | 128 ]
[ 73< | -8 | -8 | -6 | -1 | >65 | -10 | 30 | -30 | 128 ]
[ 73< | -8 | -8 | -6 | -1 | >66 | -10 | 30 | -30 | 128 ]
[ 72< | -8 | -8 | -6 | -1 | >66 | -10 | 30 | -30 | 128 ]
[ 72< | -8 | -8 | -6 | -1 | >66 | -10 | 30 | -30 | 128 ]
[ 71< | -8 | -8 | -6 | -1 | >67 | -10 | 30 | -30 | 128 ]
[ 71< | -8 | -8 | -6 | -1 | >67 | -10 | 30 | -30 | 128 ]
[ 70< | -8 | -8 | -6 | -1 | >67 | -10 | 30 | -30 | 128 ]
[ 70< | -8 | -8 | -6 | -1 | >68 | -10 | 30 | -30 | 128 ]
[ 69< | -8 | -8 | -6 | -1 | >68 | -10 | 30 | -30 | 128 ]
[ 69< | -8 | -8 | -6 | -1 | >68 | -10 | 30 | -30 | 128 ]
[ 68< | -8 | -8 | -6 | -1 | >69 | -10 | 30 | -30 | 128 ]
[ 68< | -8 | -8 | -6 | -1 | >69 | -10 | 30 | -30 | 128 ]
[ 67< | -8 | -8 | -6 | -1 | >69 | -10 | 30 | -30 | 128 ]
[ 67< | -8 | -8 | -6 | -1 | >70 | -10 | 30 | -30 | 128 ]
[ 66< | -8 | -8 | -6 | -1 | >70 | -10 | 30 | -30 | 128 ]
[ 66< | -8 | -8 | -6 | -1 | >70 | -10 | 30 | -30 | 128 ]
[ 65< | -8 | -8 | -6 | -1 | >71 | -10 | 30 | -30 | 128 ]
[ 65< | -8 | -8 | -6 | -1 | >71 | -10 | 30 | -30 | 128 ]
[ 64< | -8 | -8 | -6 | -1 | >71 | -10 | 30 | -30 | 128 ]
[ 64< | -8 | -8 | -6 | -1 | >72 | -10 | 30 | -30 | 128 ]
[ 63< | -8 | -8 | -6 | -1 | >72 | -10 | 30 | -30 | 128 ]
[ 63< | -8 | -8 | -6 | -1 | >72 | -10 | 30 | -30 | 128 ]
[ 62< | -8 | -8 | -6 | -1 | >73 | -10 | 30 | -30 | 128 ]
[ 62< | -8 | -8 | -6 | -1 | >73 | -10 | 30 | -30 | 128 ]
[ 61< | -8 | -8 | -6 | -1 | >73 | -10 | 30 | -30 | 128 ]
[ 61< | -8 | -8 | -6 | -1 | >74 | -10 | 30 | -30 | 128 ]
[ 60< | -8 | -8 | -6 | -1 | >74 | -10 | 30 | -30 | 128 ]
[ 60< | -8 | -8 | -6 | -1 | >74 | -10 | 30 | -30 | 128 ]
[ 59< | -8 | -8 | -6 | -1 | >75 | -10 | 30 | -30 | 128 ]
[ 59< | -8 | -8 | -6 | -1 | >75 | -10 | 30 | -30 | 128 ]
[ 58< | -8 | -8 | -6 | -1 | >75 | -10 | 30 | -30 | 128 ]
[ 58< | -8 | -8 | -6 | -1 | >76 | -10 | 30 | -30 | 128 ]
[ 57< | -8 | -8 | -6 | -1 | >76 | -10 | 30 | -30 | 128 ]
[ 57< | -8 | -8 | -6 | -1 | >76 | -10 | 30 | -30 | 128 ]
[ 56< | -8 | -8 | -6 | -1 | >77 | -10 | 30 | -30 | 128 ]
[ 56< | -8 | -8 | -6 | -1 | >77 | -10 | 30 | -30 | 128 ]
[ 55< | -8 | -8 | -6 | -1 | >77 | -10 | 30 | -30 | 128 ]
[ 55< | -8 | -8 | -6 | -1 | >78 | -10 | 30 | -30 | 128 ]
[ 54< | -8 | -8 | -6 | -1 | >78 | -10 | 30 | -30 | 128 ]
[ 54< | -8 | -8 | -6 | -1 | >78 | -10 | 30 | -30 | 128 ]
[ 53< | -8 | -8 | -6 | -1 | >79 | -10 | 30 | -30 | 128 ]
[ 53< | -8 | -8 | -6 | -1 | >79 | -10 | 30 | -30 | 128 ]
[ 52< | -8 | -8 | -6 | -1 | >79 | -10 | 30 | -30 | 128 ]
[ 52< | -8 | -8 | -6 | -1 | >80 | -10 | 30 | -30 | 128 ]
[ 51< | -8 | -8 | -6 | -1 | >80 | -10 | 30 | -30 | 128 ]
[ 51< | -8 | -8 | -6 | -1 | >80 | -10 | 30 | -30 | 128 ]
[ 50< | -8 | -8 | -6 | -1 | >81 | -10 | 30 | -30 | 128 ]
[ 50< | -8 | -8 | -6 | -1 | >81 | -10 | 30 | -30 | 128 ]
[ 49< | -8 | -8 | -6 | -1 | >81 | -10 | 30 | -30 | 128 ]
[ 49< | -8 | -8 | -6 | -1 | >82 | -10 | 30 | -30 | 128 ]
[ 48< | -8 | -8 | -6 | -1 | >82 | -10 | 30 | -30 | 128 ]
[ 48< | -8 | -8 | -6 | -1 | >82 | -10 | 30 | -30 | 128 ]
[ 47< | -8 | -8 | -6 | -1 | >83 | -10 | 30 | -30 | 128 ]
[ 47< | -8 | -8 | -6 | -1 | >83 | -10 | 30 | -30 | 128 ]
[ 46< | -8 | -8 | -6 | -1 | >83 | -10 | 30 | -30 | 128 ]
[ 46< | -8 | -8 | -6 | -1 | >84 | -10 | 30 | -30 | 128 ]
[ 45< | -8 | -8 | -6 | -1 | >84 | -10 | 30 | -30 | 128 ]
[ 45< | -8 | -8 | -6 | -1 | >84 | -10 | 30 | -30 | 128 ]
[ 44< | -8 | -8 | -6 | -1 | >85 | -10 | 30 | -30 | 128 ]
[ 44< | -8 | -8 | -6 | -1 | >85 | -10 | 30 | -30 | 128 ]
[ 43< | -8 | -8 | -6 | -1 | >85 | -10 | 30 | -30 | 128 ]
[ 43< | -8 | -8 | -6 | -1 | >86 | -10 | 30 | -30 | 128 ]
[ 42< | -8 | -8 | -6 | -1 | >86 | -10 | 30 | -30 | 128 ]
[ 42< | -8 | -8 | -6 | -1 | >86 | -10 | 30 | -30 | 128 ]
